#,ブランド,ライン,製品名,カテゴリ,主要悩み(先頭5件),容量,メーカー,推奨対象,特徴サマリー,商品ID
83,Kérastase,ニュートリティブ,ニュートリティブ フォンダン,トリートメント,乾燥 / ダメージ / ツヤ不足 / 広がり / dryness,フォンダン マジストラル 200mL,ロレアル,「しっとりやわらかい質感を毎日続けたい」方。,保湿に特化した処方が、乾燥した髪をやわらかく整え、ツヤを引き出します。,kerastase-nutritive-tr
84,Kérastase,ニュートリティブ,ニュートリティブ マスク,ヘアマスク,乾燥 / ダメージ / ツヤ不足 / 広がり / dryness,マスク マジストラル 200g,ロレアル,「しっとりやわらかい質感を毎日続けたい」方。,保湿に特化した処方が、乾燥した髪をやわらかく整え、ツヤを引き出します。,kerastase-nutritive-mask
85,Kérastase,ニュートリティブ,ニュートリティブ ヘアオイル,アウトバスオイル,乾燥 / ダメージ / ツヤ不足 / 広がり / dryness,ユイル マジストラル 100mL,ロレアル,「しっとりやわらかい質感を毎日続けたい」方。,保湿に特化した処方が、乾燥した髪をやわらかく整え、ツヤを引き出します。,kerastase-nutritive-oil
86,Kérastase,ブロンドアブソリュ,ブロンドアブソリュ バン,シャンプー,ダメージ / ツヤ不足 / bleach / colorFade / パサつき,バン ルミエール 250mL,ロレアル,「ブリーチの透明感をできるだけ長く楽しみたい」方。,ブロンド毛の黄ばみケアに特化した処方が、透明感と上質なツヤを保ちます。,kerastase-blondabsolu-sh
87,Kérastase,ブロンドアブソリュ,ブロンドアブソリュ フォンダン,トリートメント,ダメージ / ツヤ不足 / bleach / colorFade / 乾燥,フォンダン サーモプロテクト 200mL,ロレアル,「ブリーチの透明感をできるだけ長く楽しみたい」方。,ブロンド毛の黄ばみケアに特化した処方が、透明感と上質なツヤを保ちます。,kerastase-blondabsolu-tr
88,Kérastase,ブロンドアブソリュ,ブロンドアブソリュ マスク,ヘアマスク,ダメージ / ツヤ不足 / bleach / colorFade / パサつき,マスク ウルトラ ヴァイオレット 200g,ロレアル,「ブリーチの透明感をできるだけ長く楽しみたい」方。,ブロンド毛の黄ばみケアに特化した処方が、透明感と上質なツヤを保ちます。,kerastase-blondabsolu-mask
89,Kérastase,ブロンドアブソリュ,ブロンドアブソリュ ヘアオイル,アウトバスオイル,ダメージ / ツヤ不足 / bleach / colorFade / パサつき,ユイル シカ エクストレム 50mL,ロレアル,「ブリーチの透明感をできるだけ長く楽しみたい」方。,ブロンド毛の黄ばみケアに特化した処方が、透明感と上質なツヤを保ちます。,kerastase-blondabsolu-oil
90,Kérastase,レジスタンス,レジスタンス バン,シャンプー,ダメージ / 枝毛 / ツヤ不足 / パサつき / 切れ毛,バン エクステンショニスト 250mL,ロレアル,「カラーやパーマで弱った髪を立て直したい」方。,ダメージレベルに応じた補修処方が、髪の強さとしなやかさを取り戻します。,kerastase-resistance-sh
91,Kérastase,レジスタンス,レジスタンス フォンダン,トリートメント,ダメージ / 枝毛 / 乾燥 / ツヤ不足 / パサつき,フォンダン エクステンショニスト 200mL,ロレアル,「カラーやパーマで弱った髪を立て直したい」方。,ダメージレベルに応じた補修処方が、髪の強さとしなやかさを取り戻します。,kerastase-resistance-tr
92,Kérastase,レジスタンス,レジスタンス マスク,ヘアマスク,ダメージ / 枝毛 / ツヤ不足 / パサつき / 切れ毛,マスク エクステンショニスト 200g,ロレアル,「カラーやパーマで弱った髪を立て直したい」方。,ダメージレベルに応じた補修処方が、髪の強さとしなやかさを取り戻します。,kerastase-resistance-mask
93,Kérastase,レジスタンス,レジスタンス ヘアオイル,アウトバスオイル,ダメージ / 枝毛 / ツヤ不足 / パサつき / 切れ毛,セラム エクステンショニスト 50mL,ロレアル,「カラーやパーマで弱った髪を立て直したい」方。,ダメージレベルに応じた補修処方が、髪の強さとしなやかさを取り戻します。,kerastase-resistance-oil
94,SUBLIMIC,アクアインテンシブ,アクアインテンシブ シャンプー,シャンプー,ダメージ / 乾燥 / dryness / 広がり / ハリコシ不足,250mL / 500mL,資生堂プロフェッショナル,「カラー後の乾燥としなやかさの低下を立て直したい」方。,サブリミック発想の保湿処方が、乾燥した髪をしなやかに整え、うるおいを与えます。,sublimic-aquaintensive-sh
95,SUBLIMIC,アクアインテンシブ,アクアインテンシブ トリートメント,トリートメント,ダメージ / 乾燥 / dryness / 広がり / ハリコシ不足,250g / 500g,資生堂プロフェッショナル,「カラー後の乾燥としなやかさの低下を立て直したい」方。,サブリミック発想の保湿処方が、乾燥した髪をしなやかに整え、うるおいを与えます。,sublimic-aquaintensive-tr
96,SUBLIMIC,アクアインテンシブ,アクアインテンシブ マスク,ヘアマスク,ダメージ / 乾燥 / dryness / 広がり / ハリコシ不足,200g,資生堂プロフェッショナル,「カラー後の乾燥としなやかさの低下を立て直したい」方。,サブリミック発想の保湿処方が、乾燥した髪をしなやかに整え、うるおいを与えます。,sublimic-aquaintensive-mask
97,SUBLIMIC,アデノバイタル,アデノバイタル シャンプー,シャンプー,薄毛抜け毛 / ハリコシ不足 / 頭皮乾燥 / aging / thinning,250mL / 500mL,資生堂プロフェッショナル,「ハリコシとボリュームを取り戻したい」方。,ハリコシケアに特化した処方が、髪と頭皮の両方を整え、立ち上がるボリュームを引き出します。,sublimic-adenovital-sh
98,SUBLIMIC,アデノバイタル,アデノバイタル ヘアマスク,ヘアマスク,薄毛抜け毛 / ハリコシ不足 / 頭皮乾燥 / aging / thinning,ヘアマスク 200g,資生堂プロフェッショナル,「ハリコシとボリュームを取り戻したい」方。,ハリコシケアに特化した処方が、髪と頭皮の両方を整え、立ち上がるボリュームを引き出します。,sublimic-adenovital-mask
99,SUBLIMIC,アデノバイタル,アデノバイタル スカルプエッセンス,スカルプエッセンス,薄毛抜け毛 / ハリコシ不足 / 頭皮乾燥 / aging / thinning,スカルプエッセンス 180mL,資生堂プロフェッショナル,「ハリコシとボリュームを取り戻したい」方。,ハリコシケアに特化した処方が、髪と頭皮の両方を整え、立ち上がるボリュームを引き出します。,sublimic-adenovital-essence
100,SUBLIMIC,エアリーフロー,エアリーフロー シャンプー,シャンプー,広がり / まとまり不足 / 広がり / ボリュームダウン / うねり/くせ,250mL / 500mL,資生堂プロフェッショナル,「広がりは抑えたいけれど、軽い仕上がりがいい」方。,軽やかさとまとまりを両立する処方が、くせ・広がりを抑えながら扱いやすい質感へ整えます。,sublimic-airyflow-sh
101,SUBLIMIC,エアリーフロー,エアリーフロー トリートメント,トリートメント,ダメージ / 乾燥 / 広がり / まとまり不足 / 広がり,250g / 500g,資生堂プロフェッショナル,「広がりは抑えたいけれど、軽い仕上がりがいい」方。,軽やかさとまとまりを両立する処方が、くせ・広がりを抑えながら扱いやすい質感へ整えます。,sublimic-airyflow-tr
102,SUBLIMIC,エアリーフロー,エアリーフロー マスク,ヘアマスク,広がり / まとまり不足 / 広がり / ボリュームダウン / うねり/くせ,200g,資生堂プロフェッショナル,「広がりは抑えたいけれど、軽い仕上がりがいい」方。,軽やかさとまとまりを両立する処方が、くせ・広がりを抑えながら扱いやすい質感へ整えます。,sublimic-airyflow-mask
103,SUBLIMIC,フェンテフォルテ,フェンテフォルテ シャンプー,シャンプー,頭皮ベタつき / 蓄積汚れ / aging / 乾燥 / 頭皮乾燥,250mL / 500mL,資生堂プロフェッショナル,「頭皮環境を立て直したい」方。,頭皮ケアに特化した処方が、地肌環境を整え、すっきりとした洗い心地を与えます。,sublimic-fuenteforte-sh
104,SUBLIMIC,フェンテフォルテ,フェンテフォルテ トリートメント,トリートメント,頭皮ベタつき / ダメージ / aging / 乾燥 / 頭皮乾燥,250g / 500g,資生堂プロフェッショナル,「頭皮環境を立て直したい」方。,頭皮ケアに特化した処方が、地肌環境を整え、すっきりとした洗い心地を与えます。,sublimic-fuenteforte-tr
105,SUBLIMIC,フェンテフォルテ,フェンテフォルテ 頭皮用美容液,スカルプエッセンス,頭皮ベタつき / aging / 乾燥 / ハリコシ不足 / 頭皮乾燥,頭皮用美容液 125mL,資生堂プロフェッショナル,「頭皮環境を立て直したい」方。,頭皮ケアに特化した処方が、地肌環境を整え、すっきりとした洗い心地を与えます。,sublimic-fuenteforte-essence
106,SUBLIMIC,ルミノフォース,ルミノフォース シャンプー,シャンプー,カラー褪色 / ダメージ / ツヤ不足 / colorFade / 多重ブリーチ,250mL / 500mL,資生堂プロフェッショナル,「カラーをきれいに長く楽しみたい」方。,カラーケア設計が褪色を防ぎ、ツヤやかな色持ちを支えます。,sublimic-luminoforce-sh
107,SUBLIMIC,ルミノフォース,ルミノフォース トリートメント,トリートメント,カラー褪色 / ダメージ / ツヤ不足 / 乾燥 / colorFade,250g / 500g,資生堂プロフェッショナル,「カラーをきれいに長く楽しみたい」方。,カラーケア設計が褪色を防ぎ、ツヤやかな色持ちを支えます。,sublimic-luminoforce-tr
108,SUBLIMIC,ルミノフォース,ルミノフォース マスク,ヘアマスク,カラー褪色 / ダメージ / ツヤ不足 / colorFade / 多重ブリーチ,200g,資生堂プロフェッショナル,「カラーをきれいに長く楽しみたい」方。,カラーケア設計が褪色を防ぎ、ツヤやかな色持ちを支えます。,sublimic-luminoforce-mask
109,SUBLIMIC,ワンダーシールド,ワンダーシールド,アウトバスミルク,ダメージ / パサつき / 枝毛 / うねり/くせ / 湿気,125mL,資生堂プロフェッショナル,「サロン仕上がりを毎日続けたい」方。,外的ストレスにアプローチする処方が、サロン帰りのなめらかさを毎日持続させます。,sublimic-wondershield-out
110,TOKIO INKARAMI,TOKIO IE INKARAMI HEAD SPA,TOKIO IE INKARAMI HEAD SPA シャンプー,シャンプー,頭皮乾燥 / ダメージ / aging / 頭皮ベタつき / thinning,200mL,TOKIO,「ヘアケアと頭皮ケアを両立したい」方。,頭皮ケアに着目したインカラミ処方で、地肌を整えながら毛髪内部まで補修します。,tokio-headspa-sh
111,TOKIO INKARAMI,TOKIO IE INKARAMI HEAD SPA,TOKIO IE INKARAMI HEAD SPA トリートメント,トリートメント,aging / ダメージ / 乾燥 / 頭皮乾燥 / 頭皮ベタつき,200g,TOKIO,「ヘアケアと頭皮ケアを両立したい」方。,頭皮ケアに着目したインカラミ処方で、地肌を整えながら毛髪内部まで補修します。,tokio-headspa-tr
112,TOKIO INKARAMI,TOKIO IE INKARAMI PLATINUM,TOKIO IE INKARAMI PLATINUM シャンプー,シャンプー,ダメージ / 枝毛 / ツヤ不足 / bleach / 広がり,200mL,TOKIO,「補修はしたい、でも重くなりたくない」方。,プラチナム配合のインカラミ処方が、ダメージを補修しながらさらさらの軽いツヤを引き出します。,tokio-platinum-sh
113,TOKIO INKARAMI,TOKIO IE INKARAMI PLATINUM,TOKIO IE INKARAMI PLATINUM トリートメント,トリートメント,bleach / ダメージ / 乾燥 / 広がり / ツヤ不足,200g,TOKIO,「補修はしたい、でも重くなりたくない」方。,プラチナム配合のインカラミ処方が、ダメージを補修しながらさらさらの軽いツヤを引き出します。,tokio-platinum-tr
114,TOKIO INKARAMI,TOKIO IE INKARAMI PREMIUM,TOKIO IE INKARAMI PREMIUM シャンプー,シャンプー,bleach / ダメージ / 乾燥 / 広がり / ツヤ不足,200mL,TOKIO,「乾燥や広がりを抑え、しっとりまとめたい」方。,プレミアム処方のインカラミが、乾燥した髪の内部を補修し、しっとりとしたまとまりを引き出します。,tokio-premium-sh
115,TOKIO INKARAMI,TOKIO IE INKARAMI PREMIUM,TOKIO IE INKARAMI PREMIUM トリートメント,トリートメント,bleach / ダメージ / 乾燥 / 広がり / ツヤ不足,200g,TOKIO,「乾燥や広がりを抑え、しっとりまとめたい」方。,プレミアム処方のインカラミが、乾燥した髪の内部を補修し、しっとりとしたまとまりを引き出します。,tokio-premium-tr
116,TOKIO INKARAMI,アウトカラミ,TOKIO IE OUTKARAMI オイルトリートメント,アウトバスオイル,ダメージ / ツヤ不足 / 広がり / 枝毛 / bleach,オイルトリートメント 100mL,TOKIO,「ドライヤー前にもしっかり補修したい」方。,アウトバスでも内部補修にこだわるインカラミ発想。乾かす前のひと手間で、ツヤと指通りを引き上げます。,tokio-outkarami-oil
117,TOKIO INKARAMI,アウトカラミ,TOKIO IE OUTKARAMI プラチナムオイルトリートメント,アウトバスオイル,ダメージ / ツヤ不足 / 広がり / 枝毛 / bleach,プラチナム オイルトリートメント 100mL,TOKIO,「ドライヤー前にもしっかり補修したい」方。,アウトバスでも内部補修にこだわるインカラミ発想。乾かす前のひと手間で、ツヤと指通りを引き上げます。,tokio-outkarami-oil-2
118,TOKIO INKARAMI,リミテッド,TOKIO IE INKARAMI LIMITED シャンプー,シャンプー,ダメージ / 枝毛 / ツヤ不足 / bleach / colorFade,200mL,TOKIO,「補修感も上質なまとまりも妥協したくない」方。,プレミアム配合のインカラミ処方が、ハイダメージ毛にも補修感としっとりまとまりを与えます。,tokio-limited-sh
119,TOKIO INKARAMI,リミテッド,TOKIO IE INKARAMI LIMITED トリートメント,トリートメント,ダメージ / 枝毛 / ツヤ不足 / bleach / colorFade,200g,TOKIO,「補修感も上質なまとまりも妥協したくない」方。,プレミアム配合のインカラミ処方が、ハイダメージ毛にも補修感としっとりまとまりを与えます。,tokio-limited-tr
120,TOKIO INKARAMI,リミテッド,TOKIO IE INKARAMI LIMITED アウトバス,アウトバスミルク,ダメージ / 枝毛 / ツヤ不足 / bleach / colorFade,アウトバス/集中ケア 80g,TOKIO,「補修感も上質なまとまりも妥協したくない」方。,プレミアム配合のインカラミ処方が、ハイダメージ毛にも補修感としっとりまとまりを与えます。,tokio-limited-out
121,BYKARTE,エッセンスオイル,エッセンス オイル,アウトバスオイル,ダメージ / 乾燥 / 広がり / ツヤ不足 / まとまり不足,オイル 100mL,ホーユー,「毛先のまとまりとやわらかさを整えたい」方。,アウトバス補修処方が、毛先のパサつきと広がりを整え、しっとりまとめます。,viequalite-essence-oil
122,BYKARTE,エッセンスミルク,エッセンス ミルク,アウトバスミルク,ダメージ / 乾燥 / 広がり / ツヤ不足 / まとまり不足,ミルク 100g,ホーユー,「毛先のまとまりとやわらかさを整えたい」方。,アウトバス補修処方が、毛先のパサつきと広がりを整え、しっとりまとめます。,viequalite-essence-out
123,BYKARTE,コンセントレイトエッセンス,コンセントレイト エッセンス,ヘアマスク,ダメージ / 枝毛 / ツヤ不足 / bleach / パサつき,50mL,ホーユー,「毛先を集中的に補修したい」方。,毛先専用の補修美容液が、なめらかさとまとまりを集中的に与えます。,viequalite-concentrate-mask
124,BYKARTE,セラムトリートメント,セラムトリートメント HS+,トリートメント,ダメージ / 乾燥 / ツヤ不足 / パサつき / 切れ毛,SS+ 200g,ホーユー,「自分の髪質に合うトリートメントを精密に選びたい」方。,髪質別に設計された補修処方が、ダメージを整え、希望の仕上がりへ導きます。,viequalite-serum-tr
125,BYKARTE,セラムトリートメント,セラムトリートメント MS+,トリートメント,ダメージ / 乾燥 / ツヤ不足 / パサつき / 切れ毛,MS+ 200g,ホーユー,「自分の髪質に合うトリートメントを精密に選びたい」方。,髪質別に設計された補修処方が、ダメージを整え、希望の仕上がりへ導きます。,viequalite-serum-tr-2
126,BYKARTE,セラムトリートメント,セラムトリートメント SS+,トリートメント,ダメージ / 乾燥 / ツヤ不足 / パサつき / 切れ毛,HS+ 200g,ホーユー,「自分の髪質に合うトリートメントを精密に選びたい」方。,髪質別に設計された補修処方が、ダメージを整え、希望の仕上がりへ導きます。,viequalite-serum-tr-3
127,BYKARTE,セラムマスク,セラムマスク,ヘアマスク,ダメージ / 枝毛 / ツヤ不足 / パサつき / 多重ブリーチ,180g,ホーユー,「毛先のダメージを集中的に整えたい」方。,集中補修処方が、毛先のダメージを整え、なめらかな質感を取り戻します。,viequalite-serummask-mask
128,BYKARTE,リペアシャンプー CH+,リペアシャンプー CH+,シャンプー,ダメージ / ツヤ不足 / colorFade / パサつき / カラー褪色,250mL,ホーユー,「ダメージを補修しながら、しっかりまとめたい」方。,普通毛〜硬毛向けの補修処方が、髪を内側から整え、まとまりとなめらかさを与えます。,viequalite-ch-sh
129,BYKARTE,リペアシャンプー FH+,リペアシャンプー FH+,シャンプー,ダメージ / ツヤ不足 / パサつき / ボリュームダウン / volumeLoss,250mL,ホーユー,「補修したいけれど、軽さは残したい」方。,細毛・軟毛向けの補修処方が、軽さを保ちながら髪を整え、ふんわりとしたまとまりを与えます。,viequalite-fh-sh
130,BYKARTE,リペアシャンプー UH+,リペアシャンプー UH+,シャンプー,ダメージ / 広がり / 湿気 / まとまり不足 / 広がり,250mL,ホーユー,「うねりを抑えながら補修もしたい」方。,うねりケアに着目した補修処方が、髪をなめらかにまとめ、扱いやすい質感へ整えます。,viequalite-uh-sh
131,System Professional,BALANCE,システム プロフェッショナル B2 バランスマスク,マスク,頭皮敏感 / 頭皮乾燥 / 細毛 / ダメージ / ツヤ不足,200ml,Wella,敏感肌・乾燥肌の頭皮ケアと髪の保湿に。,頭皮と髪をやさしく整える、敏感肌対応マスク。,syspro-balance-mask
132,System Professional,BALANCE,システム プロフェッショナル B エナジーセラム,スカルプエッセンス,頭皮乾燥 / 細毛 / 軟毛 / ダメージ / ボリューム不足,100ml,Wella,薄毛・抜け毛・ボリュームダウンが気になる方に。,頭皮に活力を与える、エナジースカルプセラム。,syspro-balance-energyserum
133,System Professional,BALANCE,システム プロフェッショナル B バランスローション,スカルプエッセンス,頭皮敏感 / 頭皮乾燥 / 細毛 / 軟毛 / ダメージ,150ml,Wella,頭皮の乾燥・敏感、季節の変わり目のケアに。,頭皮にうるおいと安定感を与える、デイリーローション。,syspro-balance-lotion
134,System Professional,BALANCE,システム プロフェッショナル B1 バランスシャンプー,シャンプー,頭皮敏感 / 頭皮乾燥 / 細毛 / 軟毛 / ダメージ,250ml / 1000ml,Wella,頭皮の乾燥・敏感・かゆみが気になる方に。,頭皮環境を整える、敏感肌対応シャンプー。,syspro-balance-sh
135,System Professional,BLOND,システム プロフェッショナル B3 ブロンドリバイブマスク,マスク,多重ブリーチ / 黄ばみ / ブリーチダメージ / ダメージ / カラー褪色,200ml,Wella,ブリーチ・ハイトーン・ハイライト施術後の集中補修と色味維持に。,ブロンド・ハイトーン毛のための、補修と色味補正を両立するマスク。,syspro-blond-mask
136,System Professional,COLOR SAVE,システム プロフェッショナル C2 カラーセーブマスク,マスク,カラー褪色 / ダメージ / ツヤ不足 / 乾燥 / 多重ブリーチ,200ml,Wella,カラーの持ちと髪のコンディションを両立させたい方に。,色とコンディションを同時に守る、カラーケアマスク。,syspro-colorsave-mask
137,System Professional,COLOR SAVE,システム プロフェッショナル C カラーセーブフルイド,アウトバスオイル,カラー褪色 / ダメージ / ツヤ不足 / 乾燥 / 多重ブリーチ,30ml,Wella,カラー後の毛先のパサつき・ツヤ不足のポイントケアに。,カラー毛のための集中ツヤフルイド。,syspro-colorsave-fluid
138,System Professional,COLOR SAVE,システム プロフェッショナル C バイフェーズ コンディショニング スプレー,アウトバスミスト,カラー褪色 / ダメージ / ツヤ不足 / 広がり / 乾燥,185ml,Wella,スタイリング前後のカラーケアと指通り改善に。,カラーを守りながら指通りを整える二層式スプレー。,syspro-colorsave-bispray
139,System Professional,COLOR SAVE,システム プロフェッショナル C1 カラーセーブシャンプー,シャンプー,カラー褪色 / ダメージ / ツヤ不足 / 乾燥 / 多重ブリーチ,250ml / 1000ml,Wella,カラー直後〜数週間、色の鮮やかさを長く楽しみたい方に。,色の美しさを長く守る、カラーケア専用シャンプー。,syspro-colorsave-sh
140,System Professional,COLOR SAVE,システム プロフェッショナル C3 カラーセーブコンディショナー,トリートメント,カラー褪色 / ダメージ / ツヤ不足 / 乾燥 / 多重ブリーチ,200ml / 1000ml,Wella,カラーをきれいに長く保ちたい方のデイリーケアに。,色を守り、なめらかさを与えるカラーケアコンディショナー。,syspro-colorsave-co
141,System Professional,EXTRA,システム プロフェッショナル エクストラ エラスティック フォース,ブースター,多重ブリーチ / ダメージ / 細毛 / 薄毛抜け毛 / 弾力不足,50ml,Wella,ハリ・コシ・弾力を失った髪、複合ダメージ毛に。,髪の弾力を取り戻す、ハリ・コシのブースター。,syspro-extra-elasticforce
142,System Professional,EXTRA,システム プロフェッショナル エクストラ リピッドブースター,ブースター,多重ブリーチ / ダメージ / 弾力不足 / 切れ毛 / 枝毛,50ml,Wella,ブリーチ・ハイダメージで脂質が抜けた髪のレスキューに。,ブリーチ毛のためのリピッドブースター、脂質を集中補給。,syspro-extra-lipidbooster
143,System Professional,EXTRA,システム プロフェッショナル エクストラ アルファエナジー,スカルプエッセンス,多重ブリーチ / ダメージ / 細毛 / 薄毛抜け毛 / 軟毛,100ml,Wella,薄毛・抜け毛・髪密度低下が気になる方の集中スカルプケアに。,髪密度を整える、エナジースカルプエッセンス。,syspro-extra-alphaenergy
144,System Professional,HYDRATE,システム プロフェッショナル H2 ハイドレートマスク,マスク,乾燥 / ツヤ不足 / 広がり / ダメージ / 絡まり,200ml,Wella,極度の乾燥・ザラつき・ツヤ不足が気になる髪に。週1〜2回の集中ケアに。,芯から潤う質感へ。乾燥した髪のための集中保湿マスク。,syspro-hydrate-mask
145,System Professional,HYDRATE,システム プロフェッショナル H クエンチング ミスト,アウトバスミスト,乾燥 / ツヤ不足 / 広がり / ダメージ / static,150ml,Wella,日中の乾燥・静電気・パサつきが気になる方に。,いつでも潤いを補給できる、軽やかなリーブインミスト。,syspro-hydrate-mist
146,System Professional,HYDRATE,システム プロフェッショナル H1 ハイドレートシャンプー,シャンプー,乾燥 / ツヤ不足 / 広がり / ダメージ / カラー褪色,250ml / 1000ml,Wella,乾燥でパサつき・ツヤ不足を感じる髪に。サロン品質の保湿ベースを求める方へ。,潤いに満ちたしなやかな質感を取り戻す、最上質の保湿シャンプー。,syspro-hydrate-sh
147,System Professional,HYDRATE,システム プロフェッショナル H3 ハイドレートコンディショナー,トリートメント,乾燥 / ツヤ不足 / 広がり / ダメージ / 絡まり,200ml / 1000ml,Wella,日常的に乾燥・パサつきを感じる髪のベースケアに。,日々の乾燥を芯から整える、保湿コンディショナー。,syspro-hydrate-co
148,System Professional,LUXEOIL,システム プロフェッショナル LO ラグジュアリーオイル ケラチンリストアマスク,マスク,ダメージ / 枝毛 / ツヤ不足 / 多重ブリーチ / カラー褪色,200ml,Wella,ブリーチ・連続カラーでハイダメージが進行した髪へ。,ハイダメージ毛のための、最上級リストアマスク。,syspro-luxeoil-mask
149,System Professional,LUXEOIL,システム プロフェッショナル LO ケラチンブーストエッセンス,outbath-mist,ダメージ / 枝毛 / ツヤ不足 / 熱ダメージ / カラー褪色,100ml,Wella,ハイダメージ毛のリーブインケア、サロン後のホームケアに。,ハイダメージ毛のためのブースト型リーブインエッセンス。,syspro-luxeoil-boost
150,System Professional,LUXEOIL,システム プロフェッショナル LO ラグジュアリーオイル リコンストラクティブエリクサー,アウトバスオイル,ダメージ / 枝毛 / ツヤ不足 / 多重ブリーチ / 広がり,100ml,Wella,ツヤ・なめらかさ・ヒートプロテクトを一本で叶えたい方に。,ハイダメージ毛のための万能アウトバスオイル。,syspro-luxeoil-elixir
151,System Professional,LUXEOIL,システム プロフェッショナル LO ラグジュアリーオイル ケラチンプロテクトシャンプー,シャンプー,ダメージ / 枝毛 / ツヤ不足 / 多重ブリーチ / 広がり,200ml / 1000ml,Wella,カラー・ブリーチ・パーマで傷んだ髪の質感を立て直したい方に。,タンパク質を守りながら洗い上げる、ダメージ毛のための上質ケアシャンプー。,syspro-luxeoil-sh
152,System Professional,LUXEOIL,システム プロフェッショナル LO ラグジュアリーオイル ケラチンコンディショニングクリーム,トリートメント,ダメージ / 枝毛 / ツヤ不足 / 多重ブリーチ / 広がり,200ml / 1000ml,Wella,ハイダメージ毛のデイリートリートメントとして。,日々の補修で髪の芯を強くする、ラグジュアリーケアトリートメント。,syspro-luxeoil-tr
153,System Professional,MAN,システム プロフェッショナル マン ヘア&ビアード オイル,アウトバスオイル,頭皮ベタつき / 細毛 / 頭皮乾燥 / ボリューム不足 / ツヤ不足,30ml,Wella,髪とヒゲを同時にケアしたい男性に。,髪もヒゲもケアできる、メンズマルチオイル。,syspro-man-beardoil
154,System Professional,MAN,システム プロフェッショナル マン トリプル シャンプー,シャンプー,頭皮ベタつき / 細毛 / 頭皮乾燥 / ボリューム不足 / 軟毛,250ml,Wella,時短ケア派、頭皮ケア重視の男性に。,メンズのための、3 in 1スカルプシャンプー。,syspro-man-triplesh
155,System Professional,REPAIR,システム プロフェッショナル R3 リペアマスク,マスク,ダメージ / 多重ブリーチ / ブリーチダメージ / 切れ毛 / 枝毛,200ml,Wella,ブリーチ毛・パサつき・切れ毛が顕著な髪の集中ケアに。,ハイダメージ毛のためのインテンスリペアマスク。,syspro-repair-mask
156,System Professional,REPAIR,システム プロフェッショナル パーフェクトヘア,アウトバスムース,ダメージ / 切れ毛 / 枝毛 / 熱ダメージ / ツヤ不足,180ml,Wella,日常的に熱・摩擦・カラーストレスを受ける髪の総合ケアに。,12 in 1 のオールインワン リーブインリペア。,syspro-repair-perfecthair
157,System Professional,REPAIR,システム プロフェッショナル R1 リペアシャンプー,シャンプー,ダメージ / 多重ブリーチ / ブリーチダメージ / 切れ毛 / 枝毛,250ml / 1000ml,Wella,繰り返しのカラー・ブリーチ・縮毛矯正でハイダメージが進行した髪に。,ダメージ毛の構造を整え、後のケアの浸透を最大化する補修シャンプー。,syspro-repair-sh
158,System Professional,REPAIR,システム プロフェッショナル R2 リペアコンディショナー,トリートメント,ダメージ / 多重ブリーチ / ブリーチダメージ / 切れ毛 / 枝毛,200ml / 1000ml,Wella,ダメージ毛のデイリーケアに。R1シャンプー後の最適な組み合わせ。,芯のしなやかさを取り戻す、補修系コンディショナー。,syspro-repair-co
159,System Professional,SMOOTHEN,システム プロフェッショナル S3 スムーセンマスク,マスク,広がり / 広がり / 湿気 / うねり/くせ / 扱いにくさ,200ml,Wella,くせ毛・剛毛のスペシャルケア、湿気の多い季節に。,くせ毛・剛毛のための集中スムージングマスク。,syspro-smoothen-mask
160,System Professional,SMOOTHEN,システム プロフェッショナル S1 スムーセンシャンプー,シャンプー,広がり / 広がり / 湿気 / うねり/くせ / 扱いにくさ,250ml / 1000ml,Wella,くせ毛・剛毛で広がり・うねりが気になる髪のベースケアに。,芯からまとまる髪へ整えるスムージングシャンプー。,syspro-smoothen-sh
161,System Professional,SMOOTHEN,システム プロフェッショナル S2 スムーセンコンディショナー,トリートメント,広がり / 広がり / 湿気 / うねり/くせ / まとまり不足,200ml / 1000ml,Wella,くせ毛・広がりやすい髪のデイリーコンディショナーに。,広がりを整え、まとまりへ導くスムージングコンディショナー。,syspro-smoothen-co
162,System Professional,SOLAR,システム プロフェッショナル ソラ― サン オイル,アウトバスオイル,紫外線ダメージ / 乾燥 / ダメージ / カラー褪色 / ツヤ不足,100ml,Wella,夏場のアウトドア・海・プール前のヘアプロテクトに。,日差しから髪を守る、UVケアヘアオイル。,syspro-solar-sunoil
163,System Professional,SOLAR,システム プロフェッショナル ソラ― シーリング クリーム,アウトバスクリーム,紫外線ダメージ / 乾燥 / ダメージ / カラー褪色 / 広がり,150ml,Wella,日差しの強い日の外出前、髪を守りたいシーンに。,日差しから髪をシールする、UVケアクリーム。,syspro-solar-sealing
164,System Professional,SOLAR,システム プロフェッショナル ソラ― シャンプー,シャンプー,紫外線ダメージ / 乾燥 / ダメージ / カラー褪色 / ツヤ不足,250ml,Wella,プール・海・強い日差しに当たった後のリセットケアに。,日差しダメージから髪をリセットする、アフターサンシャンプー。,syspro-solar-sh
165,System Professional,SOLAR,システム プロフェッショナル ソラ― ハイドロリペア クリーム,トリートメント,紫外線ダメージ / 乾燥 / ダメージ / カラー褪色 / ツヤ不足,200ml,Wella,日差しと乾燥でパサついた髪のレスキューケアに。,夏ダメージの集中補修クリーム。,syspro-solar-hydrocream
